Nombre,URL,Disponibilidad,Fecha,Ultimo
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-15 19:17:50.694508,
Github,https://github.com/Sud-Austral/,Disponible,2021-02-15 19:17:50.694508,
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-15 19:17:50.694508,
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-15 19:17:50.694508,
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-15 19:17:50.694508,
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-15 19:17:50.694508,
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-15 19:17:50.694508,
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-15 19:17:50.694508,
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-15 19:17:50.694508,
Odoo,https://dataintelligence.store/,Disponible,2021-02-15 19:17:50.694508,
Dropbox,https://www.dropbox.com/,Disponible,2021-02-15 19:17:50.694508,
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-15 19:17:50.694508,
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-15 19:17:50.694508,
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-15 19:17:50.694508,
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-15 18:47:11.358000,
Github,https://github.com/Sud-Austral/,Disponible,2021-02-15 18:47:11.358000,
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-15 18:47:11.358000,
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-15 18:47:11.358000,
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-15 18:47:11.358000,
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-15 18:47:11.358000,
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-15 18:47:11.358000,
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-15 18:47:11.358000,
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-15 18:47:11.358000,
Odoo,https://dataintelligence.store/,Disponible,2021-02-15 18:47:11.358000,
Dropbox,https://www.dropbox.com/,Disponible,2021-02-15 18:47:11.358000,
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-15 18:47:11.358000,
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-15 18:47:11.358000,
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-15 18:47:11.358000,
EZ Exporter,https://ezexporter.highviewapps.com/exports/export-profile/,Disponible,2021-02-15 18:16:28.826000,
Github,https://github.com/Sud-Austral/,Disponible,2021-02-15 18:16:28.826000,
Shiny,https://rpubs.com/dataintelligence/,Disponible,2021-02-15 18:16:28.826000,
Tomcat,https://ide.dataintelligence-group.com/,Disponible,2021-02-15 18:16:28.826000,
GeoServer,https://ide.dataintelligence-group.com/geoserver/web/?0,Disponible,2021-02-15 18:16:28.826000,
MapStore,https://ide.dataintelligence-group.com/mapstore/#/,Disponible,2021-02-15 18:16:28.826000,
Filtros Dashboard,https://filtradordashboard.azurewebsites.net/,Disponible,2021-02-15 18:16:28.826000,
UtilidadesOdoo,https://odooutil.azurewebsites.net/,Disponible,2021-02-15 18:16:28.826000,
GEE,https://app-data-i.users.earthengine.app/,Disponible,2021-02-15 18:16:28.826000,
Odoo,https://dataintelligence.store/,Disponible,2021-02-15 18:16:28.826000,
Dropbox,https://www.dropbox.com/,Disponible,2021-02-15 18:16:28.826000,
PowerBI,https://powerbi.microsoft.com/es-es/,Disponible,2021-02-15 18:16:28.826000,
Blackbox,https://serviciodashboard.azurewebsites.net/,Disponible,2021-02-15 18:16:28.826000,
Odoo,https://www.dataintelligence-group.com/,Disponible,2021-02-15 18:16:28.826000,
